TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,IS_PRIMARY_KEY
dbo,log1040,fstrForeignEmployerPensionCd,76,nvarchar,3,NO,NULL,NO
dbo,log1040,fcurTaxableForeignPensions,77,money,NULL,NO,NULL,NO
dbo,log1040,fcurTaxablePensionsAnnuities,78,money,NULL,NO,NULL,NO
dbo,log1040,fblnPensionsAnnuitiesRollover,79,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnPensionsAnnuitiesPSO,80,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnPensionsAnnuitiesOther,81,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrPensionsAnnuitiesOtherCode,82,nvarchar,3,NO,NULL,NO
dbo,log1040,fstrPensionsAnnuitiesOtherText,83,nvarchar,50,NO,NULL,NO
dbo,log1040,fcurSocialSecurityBenefits,84,money,NULL,NO,NULL,NO
dbo,log1040,fcurTaxableSocialSecurity,85,money,NULL,NO,NULL,NO
dbo,log1040,fblnLumpSumElectionMethod,86,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnMFSLiveApartEntireYr,87,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnCapitalDistribution,88,tinyint,NULL,NO,NULL,NO
dbo,log1040,fcurCaptialGainLoss,89,money,NULL,NO,NULL,NO
dbo,log1040,fstrForm8814Code,90,nvarchar,10,NO,NULL,NO
dbo,log1040,fcurForm8814,91,money,NULL,NO,NULL,NO
dbo,log1040,fblnChildCapitalGainOrLossIncl,92,tinyint,NULL,NO,NULL,NO
dbo,log1040,fcurTotalAdditionalIncome,93,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalIncome,94,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalAdjustments,95,money,NULL,NO,NULL,NO
dbo,log1040,fcurAGI,96,money,NULL,NO,NULL,NO
dbo,log1040,fcurExcludedSect933PRInc,97,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalItemizedDeductions,98,money,NULL,NO,NULL,NO
dbo,log1040,fblnDualStatusAlien,99,tinyint,NULL,NO,NULL,NO
dbo,log1040,fcurQualifiedBusinessIncomeDed,100,money,NULL,NO,NULL,NO
